LP - General,LP - Jazz,LP - Soundtrack,Collection,"EP - 7""","EP - 10""","EP - 12""","Single - 7""","Single - 10""","Single - 12""",VA Compilations
Marianne Faithful – Broken English,,,,,,,,,,
Marty Robbins – Gunfighter Ballads And Trail Songs,,,,,,,,,,
Marvin Gaye – What’s Goin’ On,,,,,,,,,,
Men At Work – Business As Usual,,,,,,,,,,
Mike Oldfield – Tubular Bells,,,,,,,,,,
Mission of Burma – s/t,,,,,,,,,,
Morphine – Cure For Pain,,,,,,,,,,
Morphine – Good,,,,,,,,,,
Morphine – Live at The Warfield 1997,,,,,,,,,,
Morphine – Yes,,,,,,,,,,
Nazi Dust – Wretched Hour,,,,,,,,,,
Neutral Milk Hotel – In The Aeroplane Over The Sea,,,,,,,,,,
Oingo Boingo – Only A Lad,,,,,,,,,,
Old Testament – s/t,,,,,,,,,,
Osamu Kitajima – Osamu,,,,,,,,,,
Pallbearer – Sorrow And Extinction,,,,,,,,,,
Patti Smith – Horses,,,,,,,,,,
Pere Ubu – Don’t Expect Art,,,,,,,,,,
Pere Ubu – The Modern Dance,,,,,,,,,,
Peter Gabriel – s/t (Melt),,,,,,,,,,
Peter Gabriel – s/t (Security),,,,,,,,,,
Peter Gabriel – So,,,,,,,,,,
Phil Collins – No Jacket Required,,,,,,,,,,
Plasmatics - Beyond the Valley of 1984,,,,,,,,,,
Protomen – Act II,,,,,,,,,,
Ray Lynch – Deep Breakfast,,,,,,,,,,
Reagan Youth – Vol. 1,,,,,,,,,,
Renaissance – Novella,,,,,,,,,,
Renaissance – Prologue,,,,,,,,,,
Robert Fripp – Exposure,,,,,,,,,,
Rokumonsen ‎– Kingusāmon no Iru Shima,,,,,,,,,,
Rome – A Passage To Rhodesia,,,,,,,,,,
Rome – Flowers From Exile,,,,,,,,,,
Ry Cooder – s/t,,,,,,,,,,
Scott Walker – Scott 2,,,,,,,,,,
Shabazz Palaces – Lese Majesty,,,,,,,,,,
Shellac – 1000 Hurts,,,,,,,,,,
Silver Apples – s/t,,,,,,,,,,
Sleep – Holy Mountain,,,,,,,,,,
Slowdive – Just For A Day,,,,,,,,,,
Songs of The Civil War,,,,,,,,,,
Steely Dan – Aja,,,,,,,,,,
Steely Dan – Countdown To Ecstasy,,,,,,,,,,
Stormtroopers of Death – Speak English or Die,,,,,,,,,,
Sufjan Stevens – Illinois,,,,,,,,,,
Supertramp – Breakfast In America,,,,,,,,,,
T. Rex – Electric Warrior,,,,,,,,,,
T.S.O.L – Dance With Me,,,,,,,,,,
Taco – After Eight,,,,,,,,,,
